weapon,weapon_uuid,skin,skin_uuid,theme_uuid,content_tier_uuid
Odin,63e6c2b6-4a8e-869c-3d4c-e38355226584,Nitro Odin,2715f184-46cc-bec1-dd7c-e7b4d1aeb625,cc3f546b-410a-ddb6-6577-4aab0296496d,12683d76-48d7-84a3-4e09-6985794f0445
Odin,63e6c2b6-4a8e-869c-3d4c-e38355226584,Topotek Odin,85c76090-4de5-3a3a-a763-f4a7b779e8ed,418542b0-4f5c-3f37-4f5a-ecb1d3bc04ce,12683d76-48d7-84a3-4e09-6985794f0445
Odin,63e6c2b6-4a8e-869c-3d4c-e38355226584,Dolmir's Revenge Odin,79ffb1d7-405d-1b96-6071-e7a804555cd7,44aca53d-483f-1682-4aac-27a771feef43,e046854e-406c-37f4-6607-19a9ba8426fc
Odin,63e6c2b6-4a8e-869c-3d4c-e38355226584,Nanobreak Odin,9773ba41-4512-3706-321f-c3b826754db9,8a1afcc7-4424-052f-1717-e59eaf8dcef8,12683d76-48d7-84a3-4e09-6985794f0445
Odin,63e6c2b6-4a8e-869c-3d4c-e38355226584,.EXE Odin,cda41b87-4d3a-c17c-5f6d-8990cc9c5efb,271874eb-491b-eae3-51f8-6f93f93035f9,12683d76-48d7-84a3-4e09-6985794f0445
Odin,63e6c2b6-4a8e-869c-3d4c-e38355226584,Neo Frontier Odin,bd647d56-4542-19cd-e1ed-4fb429c78cf9,3e8c23b5-47f3-fc77-788a-94852f7a111e,e046854e-406c-37f4-6607-19a9ba8426fc
Odin,63e6c2b6-4a8e-869c-3d4c-e38355226584,Prime//2.0 Odin,157bcebe-484d-82e2-2a60-c8b4b11197ea,3264e5b6-4bd2-213b-eeab-4d8525dd4ffb,60bca009-4182-7998-dee7-b8a2558dc369
Odin,63e6c2b6-4a8e-869c-3d4c-e38355226584,Prism III Odin,72e724e9-4ba4-2d12-ce1a-8db1a528b9d3,0c2487bb-4cf9-78be-1bf1-c696f86b4aab,12683d76-48d7-84a3-4e09-6985794f0445
Odin,63e6c2b6-4a8e-869c-3d4c-e38355226584,Smite Odin,9e648b20-4ed5-1f34-87a9-979cbe9a958a,465336b0-4261-9dca-f6e8-109ad2c40381,12683d76-48d7-84a3-4e09-6985794f0445
Odin,63e6c2b6-4a8e-869c-3d4c-e38355226584,Coalition: Cobra Odin,5c13101a-45e4-d568-aade-d6b0dadedcd1,4c6f01fd-4396-7d11-87b7-ac871a285241,12683d76-48d7-84a3-4e09-6985794f0445
Odin,63e6c2b6-4a8e-869c-3d4c-e38355226584,Lightwave Odin,57523cf0-4574-968b-9f17-168e3bdb6d0d,f9fb29bd-4592-ee49-0e2a-93a925d7332e,12683d76-48d7-84a3-4e09-6985794f0445
Odin,63e6c2b6-4a8e-869c-3d4c-e38355226584,Sensation Odin,65baa0cd-42ec-f99d-54a0-338d795b5824,548cc24d-4127-a9c3-060c-b2bada325474,12683d76-48d7-84a3-4e09-6985794f0445
Odin,63e6c2b6-4a8e-869c-3d4c-e38355226584,Random Favorite Skin,9c134f41-4c29-1bd8-682e-178e7f349c9b,0d7a5bfb-4850-098e-1821-d989bbfd58a8,
Odin,63e6c2b6-4a8e-869c-3d4c-e38355226584,Orion Odin,3bb7e1cd-4774-3b84-ab13-3fa8ca182f20,5b8823bc-4419-c40c-7b62-19a3b7affd21,0cebb8be-46d7-c12a-d306-e9907bfc5a25
Odin,63e6c2b6-4a8e-869c-3d4c-e38355226584,Sentinels of Light Odin,67fb338a-4b21-ed70-7c2a-46bef4742b4f,7c85c5c1-4a47-eb3f-c81e-4693dd8b2a62,e046854e-406c-37f4-6607-19a9ba8426fc
Odin,63e6c2b6-4a8e-869c-3d4c-e38355226584,Schema Odin,02cce94a-4dc2-d11a-33cf-d8aba4e36202,820b86ef-494c-d8f5-604b-07ae66c53c4c,12683d76-48d7-84a3-4e09-6985794f0445
Odin,63e6c2b6-4a8e-869c-3d4c-e38355226584,Lycan's Bane Odin,468fdc95-443f-f1c2-bd22-fc8e1af0de39,ac3b20fe-423e-2f58-3baf-2cadeef47230,0cebb8be-46d7-c12a-d306-e9907bfc5a25
Odin,63e6c2b6-4a8e-869c-3d4c-e38355226584,Reaver Odin,8dda01a6-4237-f430-ac70-c3ba677963e9,42110a3e-4363-50cc-5a1f-e4bc80f97916,60bca009-4182-7998-dee7-b8a2558dc369
Odin,63e6c2b6-4a8e-869c-3d4c-e38355226584,Sovereign Odin,a7995818-409f-c79b-20b7-28ad642f3135,3f183186-4895-f871-c4ab-75ad942baf8c,60bca009-4182-7998-dee7-b8a2558dc369
Odin,63e6c2b6-4a8e-869c-3d4c-e38355226584,Standard Odin,f454efd1-49cb-372f-7096-d394df615308,5a629df4-4765-0214-bd40-fbb96542941f,
Odin,63e6c2b6-4a8e-869c-3d4c-e38355226584,Evori Dreamwings Odin,fa1c05fd-49fc-ad93-17d8-f0aaf11874cd,8d9feaf5-4e2c-8ddb-1606-98868ad9e0c7,411e4a55-4e59-7757-41f0-86a53f101bb5
Odin,63e6c2b6-4a8e-869c-3d4c-e38355226584,Freehand Odin,14796249-4f23-9d52-4ea1-d8878099c01e,51b0a893-40fb-acb4-3214-be89dac1983a,12683d76-48d7-84a3-4e09-6985794f0445
Odin,63e6c2b6-4a8e-869c-3d4c-e38355226584,Aerosol Odin,befa2f32-410f-a418-d8d3-b194dcf2ec6d,625f8165-44d8-0104-33da-e38da60cdb11,12683d76-48d7-84a3-4e09-6985794f0445
Odin,63e6c2b6-4a8e-869c-3d4c-e38355226584,Fortune's Hand Odin,14f9d94a-4add-10a9-588d-48a7111da96f,70b4ccb1-4508-3a83-b75d-669f76c11e88,12683d76-48d7-84a3-4e09-6985794f0445
Odin,63e6c2b6-4a8e-869c-3d4c-e38355226584,BlastX Odin,85ed3f9d-4e59-a709-8faf-bc86effb3a07,40a12450-468d-4632-8374-3abd1d4d5eb9,e046854e-406c-37f4-6607-19a9ba8426fc
Odin,63e6c2b6-4a8e-869c-3d4c-e38355226584,Solarex Odin,6f231df6-42ed-34aa-e836-78a4a144d4ea,45d0a42e-4220-a1f3-6214-db8123f76857,0cebb8be-46d7-c12a-d306-e9907bfc5a25
Ares,55d8a0f4-4274-ca67-fe2c-06ab45efdf58,Space Piercer Ares,37cacef1-4ff3-fafb-b0e0-f1b14ce9449d,55ba6998-4677-1908-0d2a-f893006fcb1c,12683d76-48d7-84a3-4e09-6985794f0445
Ares,55d8a0f4-4274-ca67-fe2c-06ab45efdf58,VALORANT GO! Vol. 2 Ares,e9fce399-4abc-bb3c-8992-f887918ce327,82738de9-4992-ebfd-8c47-7384a6b9eb7b,60bca009-4182-7998-dee7-b8a2558dc369
Ares,55d8a0f4-4274-ca67-fe2c-06ab45efdf58,Aristocrat Ares,8b9855f2-4cc6-0c44-3e7c-d0b2a32c6950,38f408dc-416e-eda9-3ac5-21892c5f5ad1,0cebb8be-46d7-c12a-d306-e9907bfc5a25
Ares,55d8a0f4-4274-ca67-fe2c-06ab45efdf58,Gaia's Vengeance Ares,1e5ee5bf-43d5-28ee-b2f7-96a53b783dc2,f3427ce8-4ad1-9ece-7b37-22befb459dad,60bca009-4182-7998-dee7-b8a2558dc369
Ares,55d8a0f4-4274-ca67-fe2c-06ab45efdf58,Endeavour Ares,bb004222-4ecd-e109-e875-069c820548fa,24510d1a-4601-6a3e-fef0-99a09072f4cd,12683d76-48d7-84a3-4e09-6985794f0445
Ares,55d8a0f4-4274-ca67-fe2c-06ab45efdf58,Bumble Brigade Ares,a609cb96-44aa-f949-c357-e4883fe664d1,21f74546-490a-fc6e-7504-0395b9cb6370,12683d76-48d7-84a3-4e09-6985794f0445
Ares,55d8a0f4-4274-ca67-fe2c-06ab45efdf58,Nebula Ares,ac65b631-4bd1-b0fa-3313-0da74d4eba9d,7e1b7375-4b1d-9e2f-14f2-acb278400826,60bca009-4182-7998-dee7-b8a2558dc369
Ares,55d8a0f4-4274-ca67-fe2c-06ab45efdf58,Doodle Buds Ares,35beb433-425e-7072-7ac3-9ca95d1d1fd9,540a0c01-43ad-809d-6347-12b48f90478b,60bca009-4182-7998-dee7-b8a2558dc369
Ares,55d8a0f4-4274-ca67-fe2c-06ab45efdf58,Singularity Ares,e901bdeb-405f-d06c-0733-6783274d85b0,738936d8-5551-4748-9660-44909304f74b,e046854e-406c-37f4-6607-19a9ba8426fc
Ares,55d8a0f4-4274-ca67-fe2c-06ab45efdf58,Rush Ares,4e04647a-4cfc-64f8-4643-f6b7dbcb2943,00347950-4139-2bc2-b594-bc8293ce9342,12683d76-48d7-84a3-4e09-6985794f0445
Ares,55d8a0f4-4274-ca67-fe2c-06ab45efdf58,Hivemind Ares,556646c0-46dd-6986-00df-a78d1c17f268,e0652066-4c7f-2229-2921-749b044ffd48,0cebb8be-46d7-c12a-d306-e9907bfc5a25
Ares,55d8a0f4-4274-ca67-fe2c-06ab45efdf58,Spitfire Ares,04b1358c-4702-dd82-a135-368384b685dd,39a6524c-4842-a05c-e420-27ab8d022cea,12683d76-48d7-84a3-4e09-6985794f0445
Ares,55d8a0f4-4274-ca67-fe2c-06ab45efdf58,Digihex Ares,b4803277-468a-f798-7120-718963b94d7a,e69b5e5b-453d-6666-aded-7494c2d1b9fc,12683d76-48d7-84a3-4e09-6985794f0445
Ares,55d8a0f4-4274-ca67-fe2c-06ab45efdf58,Hieroscape Ares,84fbc17e-485f-06ec-f3cb-2eaf700cafd3,e642dcd9-475a-cd9c-6dc1-54b530c8645c,0cebb8be-46d7-c12a-d306-e9907bfc5a25
Ares,55d8a0f4-4274-ca67-fe2c-06ab45efdf58,Infantry Ares,e089be41-4242-b28d-1894-bbba193957a2,ba8d1971-47ea-fe7c-20c2-2f95c63d567d,12683d76-48d7-84a3-4e09-6985794f0445
Ares,55d8a0f4-4274-ca67-fe2c-06ab45efdf58,Goldwing Ares,9d2b497b-434d-07fc-ea0f-ee96de4bffa1,40c6802a-425b-938e-369b-afbc5503fc85,12683d76-48d7-84a3-4e09-6985794f0445
Ares,55d8a0f4-4274-ca67-fe2c-06ab45efdf58,Outpost Ares,4308fe43-44c1-9fe8-d5f9-95be2bc70d51,36cbae3e-495f-0fae-968f-2b84c97fa146,12683d76-48d7-84a3-4e09-6985794f0445
Ares,55d8a0f4-4274-ca67-fe2c-06ab45efdf58,Prism Ares,841c9aab-4005-f7fd-3b67-24b335100fb4,7e94d78a-498e-67cb-de3d-80a36cee46cf,0cebb8be-46d7-c12a-d306-e9907bfc5a25
Ares,55d8a0f4-4274-ca67-fe2c-06ab45efdf58,Aquatica Ares,2edbde3f-4ccc-9251-d92f-21bc9046b999,258021a5-4609-5cd2-d034-3487237fd345,12683d76-48d7-84a3-4e09-6985794f0445
Ares,55d8a0f4-4274-ca67-fe2c-06ab45efdf58,Yoonseul Ares,5d79b1d4-4855-fb37-aa20-b8844d0af7dc,6c7becf6-4df3-4b48-2195-94bad9b5773a,12683d76-48d7-84a3-4e09-6985794f0445
Ares,55d8a0f4-4274-ca67-fe2c-06ab45efdf58,Monstrocity Ares,ff0a538f-4ee6-a3e7-f7a8-a0b5a76e027b,f45db2a2-40a8-df24-aed8-f9971e578cde,12683d76-48d7-84a3-4e09-6985794f0445
Ares,55d8a0f4-4274-ca67-fe2c-06ab45efdf58,Nunca Olvidados Ares,7aa16eb6-45ef-1446-fdaa-5f8fbbd04bee,0bd86c01-4db4-2197-37b8-dfa752e07142,0cebb8be-46d7-c12a-d306-e9907bfc5a25
Ares,55d8a0f4-4274-ca67-fe2c-06ab45efdf58,Celestial Ares,d21e2975-4586-635c-3fe4-e6be738243b3,5f05430b-422f-ac69-8218-818dfa3a3be7,60bca009-4182-7998-dee7-b8a2558dc369
Ares,55d8a0f4-4274-ca67-fe2c-06ab45efdf58,Magepunk Ares,0fac1dcf-48d0-c6c4-675e-2a8013bc879c,df7fbc2f-4801-df74-7c08-0bb09ce3904c,60bca009-4182-7998-dee7-b8a2558dc369
Ares,55d8a0f4-4274-ca67-fe2c-06ab45efdf58,Minima Ares,cd8eb70d-443c-d9fd-48cd-98bace9d5132,d51e0044-49dc-f11a-d981-cba8a1a762e0,0cebb8be-46d7-c12a-d306-e9907bfc5a25
Ares,55d8a0f4-4274-ca67-fe2c-06ab45efdf58,Valiant Hero Ares,26bb8b5c-4b3f-e0f6-39f7-bfa6eae59c00,651c2cf1-4437-b77d-120d-41a1225acd50,60bca009-4182-7998-dee7-b8a2558dc369
Ares,55d8a0f4-4274-ca67-fe2c-06ab45efdf58,Montage Ares,de06622c-4bf3-d9af-2191-11bf1c55ca54,bc5c1995-4c72-5463-5ad5-77913f5b463a,0cebb8be-46d7-c12a-d306-e9907bfc5a25
Ares,55d8a0f4-4274-ca67-fe2c-06ab45efdf58,Ion Ares,0f4b0478-4759-911d-c44b-2a907534789d,c8b4657e-4832-e294-7681-1eb634f6f96a,60bca009-4182-7998-dee7-b8a2558dc369
Ares,55d8a0f4-4274-ca67-fe2c-06ab45efdf58,Oni Ares,759bca71-4764-19f8-8890-239eedb78fa3,a547897d-4bd4-7c77-f5e6-55973f0e89ef,60bca009-4182-7998-dee7-b8a2558dc369
Ares,55d8a0f4-4274-ca67-fe2c-06ab45efdf58,9 Lives Ares,4e459b3b-4dab-934f-1d77-bdbe75b6fcca,d271bf9f-42f0-3f1d-0198-d6b046c6b9e4,12683d76-48d7-84a3-4e09-6985794f0445
Ares,55d8a0f4-4274-ca67-fe2c-06ab45efdf58,POLYfrog Ares,ff555802-4633-0c8b-93f8-b8887666e3ad,deb5db21-438b-e5a1-2ee7-bc8830ea6a1f,12683d76-48d7-84a3-4e09-6985794f0445
Ares,55d8a0f4-4274-ca67-fe2c-06ab45efdf58,Divine Swine Ares,398ef7c2-4055-980e-a8b4-669ca8bc5084,ab6f77b8-4567-90f1-dfab-ef919869a560,12683d76-48d7-84a3-4e09-6985794f0445
Ares,55d8a0f4-4274-ca67-fe2c-06ab45efdf58,Jigsaw Ares,e4b7f196-4f05-825f-e795-a59fc829195d,b371ffce-41a1-07f9-d1ce-aa93a6ef1787,12683d76-48d7-84a3-4e09-6985794f0445
Ares,55d8a0f4-4274-ca67-fe2c-06ab45efdf58,Premiere Collision Ares,165116bf-497a-3ffa-38dc-c58d4475e225,ec019908-4bdb-5e0e-982e-9da14516c167,12683d76-48d7-84a3-4e09-6985794f0445
Ares,55d8a0f4-4274-ca67-fe2c-06ab45efdf58,Random Favorite Skin,acccab4a-4093-8a4a-f1d3-299071d763d3,0d7a5bfb-4850-098e-1821-d989bbfd58a8,
Ares,55d8a0f4-4274-ca67-fe2c-06ab45efdf58,Sentinels of Light Ares,9f3e2ba6-428f-c635-67e0-b8b7d9e3c2fc,0c187570-4eff-2924-5e98-8bbb96b0216a,e046854e-406c-37f4-6607-19a9ba8426fc
Ares,55d8a0f4-4274-ca67-fe2c-06ab45efdf58,Sakura Ares,2666f98d-4f88-8cb9-4927-629d75a6a7ad,3807f2f2-40c3-0fce-49cc-708961b60c75,0cebb8be-46d7-c12a-d306-e9907bfc5a25
Ares,55d8a0f4-4274-ca67-fe2c-06ab45efdf58,Silhouette Ares,bef693e7-419c-af25-c26c-558b3e3bb473,ac252b14-4c1d-cee9-22d1-8da59c412ba4,12683d76-48d7-84a3-4e09-6985794f0445
Ares,55d8a0f4-4274-ca67-fe2c-06ab45efdf58,Snowfall Ares,43538e40-48bf-0262-d4a7-bbba3c56df77,58df025f-4077-9764-20ec-76a73df87b44,0cebb8be-46d7-c12a-d306-e9907bfc5a25
Ares,55d8a0f4-4274-ca67-fe2c-06ab45efdf58,Titanmail Ares,d29d764d-41ce-5a4d-0a96-7b8b91da16fd,85c47e07-405d-9104-7462-a1b226532bc7,0cebb8be-46d7-c12a-d306-e9907bfc5a25
Ares,55d8a0f4-4274-ca67-fe2c-06ab45efdf58,Mystbloom Ares,c976f29d-4a83-3a40-2907-8dadbb7c5940,882ea344-4034-7da9-5b17-229a42f602ec,e046854e-406c-37f4-6607-19a9ba8426fc
Ares,55d8a0f4-4274-ca67-fe2c-06ab45efdf58,Standard Ares,5305d9c4-4f46-fbf4-9e9a-dea772c263b5,5a629df4-4765-0214-bd40-fbb96542941f,
Ares,55d8a0f4-4274-ca67-fe2c-06ab45efdf58,Haloform Ares,921d59b7-4cfc-40ff-761b-b1b9515c341a,169b75dd-4fdd-a664-9b86-7782ddb7db2f,12683d76-48d7-84a3-4e09-6985794f0445
Vandal,9c82e19d-4575-0200-1a81-3eacf00cf872,Immortalized Vandal,d980c0c8-492b-b8df-2d91-af99a7707170,2aebbb13-48a0-2c71-04c3-45a58f53f3e5,12683d76-48d7-84a3-4e09-6985794f0445
Vandal,9c82e19d-4575-0200-1a81-3eacf00cf872,RGX 11z Pro Vandal,e5490f71-455b-74ad-f762-f5a876d4dff9,5b09613d-470c-74f4-a69a-028474b703a6,e046854e-406c-37f4-6607-19a9ba8426fc
Vandal,9c82e19d-4575-0200-1a81-3eacf00cf872,Altitude Vandal,c97cd8a3-44ef-8425-5bf6-11bf72128606,537e0587-416c-f8f3-965c-bba3508156d7,0cebb8be-46d7-c12a-d306-e9907bfc5a25
Vandal,9c82e19d-4575-0200-1a81-3eacf00cf872,VALORANT GO! Vol. 2 Vandal,ba6f2526-4ed2-8e62-49aa-ebbb04290682,82738de9-4992-ebfd-8c47-7384a6b9eb7b,60bca009-4182-7998-dee7-b8a2558dc369
Vandal,9c82e19d-4575-0200-1a81-3eacf00cf872,Divergence Vandal,5a510a45-4b2a-2b9a-bd78-1ea6d229ba38,ff9cda49-4d7a-2a6c-db4d-b5961659a93e,e046854e-406c-37f4-6607-19a9ba8426fc
Vandal,9c82e19d-4575-0200-1a81-3eacf00cf872,Araxys Vandal,4c926aa9-4f26-bc80-c486-9b888333373f,92d4ccf0-446f-db43-f028-4a9f4bc2714c,e046854e-406c-37f4-6607-19a9ba8426fc
Vandal,9c82e19d-4575-0200-1a81-3eacf00cf872,Neptune Vandal,db91451c-4309-2c8c-eded-bf842d844e52,7615ee95-4405-4e8d-145f-5ab5a20ad0d2,60bca009-4182-7998-dee7-b8a2558dc369
Vandal,9c82e19d-4575-0200-1a81-3eacf00cf872,Aristocrat Vandal,6191bb0b-456f-1a3e-df13-cdb0c1b8b1e4,38f408dc-416e-eda9-3ac5-21892c5f5ad1,0cebb8be-46d7-c12a-d306-e9907bfc5a25
Vandal,9c82e19d-4575-0200-1a81-3eacf00cf872,Gaia's Vengeance Vandal,000ad7b1-44b0-9345-ea47-9cbd7dcdbb38,204c78ee-4b19-db4e-9389-28b2585ffe1f,60bca009-4182-7998-dee7-b8a2558dc369
Vandal,9c82e19d-4575-0200-1a81-3eacf00cf872,MK.VII Liberty Vandal,6dee8259-4620-920a-cef7-14944bbed130,ac6176c9-4e35-e254-9d7c-75b8113517df,0cebb8be-46d7-c12a-d306-e9907bfc5a25
Vandal,9c82e19d-4575-0200-1a81-3eacf00cf872,Endeavour Vandal,d3733bfe-48d7-b119-3195-249d3b46b528,24510d1a-4601-6a3e-fef0-99a09072f4cd,12683d76-48d7-84a3-4e09-6985794f0445
Vandal,9c82e19d-4575-0200-1a81-3eacf00cf872,ATLAS // CMD Vandal,d84fc9f3-412c-257e-b135-94b586d4b631,a09ce81e-4690-e0c1-f3c5-6fa70f935074,0cebb8be-46d7-c12a-d306-e9907bfc5a25
Vandal,9c82e19d-4575-0200-1a81-3eacf00cf872,Champions 2021 Vandal,9bf19b77-4b33-7203-9f2c-16932970622f,ccf31eeb-429f-52dc-8447-dfb620ef6ffb,e046854e-406c-37f4-6607-19a9ba8426fc
Vandal,9c82e19d-4575-0200-1a81-3eacf00cf872,Champions 2023 Vandal,b0f65660-4c51-13b7-9d01-e29a1e2879b0,64934312-45d4-705f-dcf6-34b253ab1d67,e046854e-406c-37f4-6607-19a9ba8426fc
Vandal,9c82e19d-4575-0200-1a81-3eacf00cf872,Origin Vandal,6c4315b8-4ff1-baaa-5aac-5790c7443353,9e7d132b-4810-d42f-564d-b7b08d9bfbb8,60bca009-4182-7998-dee7-b8a2558dc369
Vandal,9c82e19d-4575-0200-1a81-3eacf00cf872,Comet Vandal,e271a430-4282-847b-3a51-5d97839ce221,91640e14-4efe-e150-7b14-31a021012b3a,0cebb8be-46d7-c12a-d306-e9907bfc5a25
Vandal,9c82e19d-4575-0200-1a81-3eacf00cf872,Phaseguard Vandal,b8a6d8f5-4171-c0f3-eab4-9bb64af25f4f,ac741228-4609-cb05-4320-cf8cd3610f87,411e4a55-4e59-7757-41f0-86a53f101bb5
Vandal,9c82e19d-4575-0200-1a81-3eacf00cf872,Starlit Odyssey Vandal,ffb65a92-4654-a7f8-1908-bf9bb18995a3,16b921f0-4127-32af-7b2e-97bc0f300053,12683d76-48d7-84a3-4e09-6985794f0445
Vandal,9c82e19d-4575-0200-1a81-3eacf00cf872,Glitchpop Vandal,74789f33-4632-8052-96d7-258538721a32,3737b313-45e6-4760-017f-60bc18c765dd,e046854e-406c-37f4-6607-19a9ba8426fc
Vandal,9c82e19d-4575-0200-1a81-3eacf00cf872,ChronoVoid Vandal,8e762a1f-4102-b7ce-d6a0-9690c5bfe160,fedeb054-483c-563d-b191-7487203a3968,e046854e-406c-37f4-6607-19a9ba8426fc
Vandal,9c82e19d-4575-0200-1a81-3eacf00cf872,Prelude to Chaos Vandal,522a264e-4ca7-adb0-6cf1-28b2ef938727,651caaec-459e-3e7c-0a16-d587226186d7,e046854e-406c-37f4-6607-19a9ba8426fc
Vandal,9c82e19d-4575-0200-1a81-3eacf00cf872,Elderflame Vandal,18609205-4edb-5966-cff8-0fba0230ba1e,6245cbbc-4aa3-b339-0d2e-abb333f6c8c5,411e4a55-4e59-7757-41f0-86a53f101bb5
Vandal,9c82e19d-4575-0200-1a81-3eacf00cf872,Imperium Vandal,917ca6e8-403e-3691-78d9-a8aa6118385f,c1f88e2b-4aad-d84c-eb8f-b3a103b5eb65,e046854e-406c-37f4-6607-19a9ba8426fc
Vandal,9c82e19d-4575-0200-1a81-3eacf00cf872,Singularity Vandal,d6c7ff28-467e-bb3f-3c0c-c5b9445e55ca,2a8ecbef-4fd0-35aa-5540-1d928eb24047,e046854e-406c-37f4-6607-19a9ba8426fc
Vandal,9c82e19d-4575-0200-1a81-3eacf00cf872,ORA by OneTap Vandal,2ef9ee97-4735-e7d9-069f-fb80541468b5,d8b688bb-41de-6bca-06da-c29aa10de21a,411e4a55-4e59-7757-41f0-86a53f101bb5
Vandal,9c82e19d-4575-0200-1a81-3eacf00cf872,Sarmad Vandal,5b6b1eee-4185-8f83-9374-3391d0f0f742,b3336fdf-496b-125d-9a81-8f838455211b,0cebb8be-46d7-c12a-d306-e9907bfc5a25
Vandal,9c82e19d-4575-0200-1a81-3eacf00cf872,Nitro Vandal,9b62faf1-416c-b736-0edb-39b890f1f18d,cc3f546b-410a-ddb6-6577-4aab0296496d,12683d76-48d7-84a3-4e09-6985794f0445
Vandal,9c82e19d-4575-0200-1a81-3eacf00cf872,Hivemind Vandal,f7f63b78-4b12-b21e-a0e7-6bafbad81509,e0652066-4c7f-2229-2921-749b044ffd48,0cebb8be-46d7-c12a-d306-e9907bfc5a25
Vandal,9c82e19d-4575-0200-1a81-3eacf00cf872,Venturi Vandal,5a658084-453f-e971-5def-2bb9cf6e5e90,8b26e254-4d7c-7f11-e67e-9e993970d42e,0cebb8be-46d7-c12a-d306-e9907bfc5a25
Vandal,9c82e19d-4575-0200-1a81-3eacf00cf872,Forsaken Vandal,437307c6-424c-6a48-9738-949b91166353,058fb051-4efb-1362-2a3e-ce81f9cf1d91,60bca009-4182-7998-dee7-b8a2558dc369
Vandal,9c82e19d-4575-0200-1a81-3eacf00cf872,Team Ace Vandal,25980352-4407-60ff-eb27-058c1ea696cc,0f4306ed-4476-f977-fe7f-16a6fe2085c0,0cebb8be-46d7-c12a-d306-e9907bfc5a25
Vandal,9c82e19d-4575-0200-1a81-3eacf00cf872,Heartstopper Vandal,08cdb3d5-4742-f8d4-9614-35b9f231b044,6a506fef-44f5-e894-0dcb-0fa2add8c955,0cebb8be-46d7-c12a-d306-e9907bfc5a25
Vandal,9c82e19d-4575-0200-1a81-3eacf00cf872,Superset Vandal,c9c999ae-4bc4-df1c-328d-ad93c0d81368,47311c65-4619-1eb2-f0d6-769f251ac702,12683d76-48d7-84a3-4e09-6985794f0445
Vandal,9c82e19d-4575-0200-1a81-3eacf00cf872,Dolmir's Revenge Vandal,3a079e06-4b63-2293-fbd8-4fb896e8af3d,44aca53d-483f-1682-4aac-27a771feef43,e046854e-406c-37f4-6607-19a9ba8426fc
Vandal,9c82e19d-4575-0200-1a81-3eacf00cf872,Ruin Vandal,948d31a0-4c2a-9c82-2b89-fe9f2ec65036,f1be220c-4370-c5e9-fa8e-2f9227ba81de,0cebb8be-46d7-c12a-d306-e9907bfc5a25
Vandal,9c82e19d-4575-0200-1a81-3eacf00cf872,.EXE Vandal,6f3a2a08-4f32-dbdc-8dca-628a5c840052,271874eb-491b-eae3-51f8-6f93f93035f9,12683d76-48d7-84a3-4e09-6985794f0445
Vandal,9c82e19d-4575-0200-1a81-3eacf00cf872,.SYS Vandal,23d61dbb-457a-5590-2e91-38a67a52c332,a723f568-40ec-2c18-e0b2-56968af32d76,0cebb8be-46d7-c12a-d306-e9907bfc5a25
